Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
472,0.050944,12.2805,1
481,0.009815,12.7038,1
490,0.001117,12.8443,1
499,4.727348,12.6723,1
410,0.000283,12.6894,1
419,0.00508,12.8556,1
428,2.132658,13.0267,1
455,2.454296,12.911,1
446,1.16257,12.7695,1
437,0.004908,12.2432,1
464,0.578964,12.6688,1
473,1.383895,12.3363,1
482,5.449643,13.466,1
491,0.296307,12.8589,1
500,0.000158,12.228,1
411,2.959893,12.8857,1
456,0.409062,13.0602,1
420,2.080391,12.8589,1
429,0.904214,12.1577,1
447,0.001055,12.5048,1
438,3.544104,12.2908,1
465,1.599836,12.5907,1
474,1.747555,12.336,1
483,1.327086,12.8638,1
492,0.063502,12.5674,1
412,5.002072,12.7582,1
457,0.000444,12.6521,1
430,0.00117,12.7144,1
421,0.061032,13.0424,1
448,0.120677,13.0629,1
439,0.052993,13.1256,1
466,0.09637,12.8326,1
475,4.593407,13.0039,1
484,0.002271,13.2591,1
493,0.149483,13.4533,1
413,2.281233,13.1294,1
458,0.00046,13.4826,1
431,0.084109,12.9255,1
422,2.847806,13.8162,1
449,4.660322,13.174,1
440,3.56381,13.3216,1
467,2.640859,13.3977,1
476,0.533154,12.8758,1
485,0.625701,13.1183,1
494,0.564389,13.157,1
414,0.000398,12.7965,1
459,0.022914,12.5191,1
432,0.404118,12.9012,1
450,0.005942,12.8903,1
423,0.769535,12.7947,1
441,2.231116,12.7964,1
468,0.000473,12.9034,1
477,1.37541,12.8928,1
495,0.249653,12.8779,1
486,3.260899,12.5795,1
